CRIM,ZN,RAD,TAX,PTRATIO,B,LSTAT,MEDV
25.0461,0,24,666,20.2,396.9,26.77,5.6
14.2362,0,24,666,20.2,396.9,20.32,7.2
9.59571,0,24,666,20.2,376.11,20.31,12.1
24.8017,0,24,666,20.2,396.9,19.77,8.3
41.5292,0,24,666,20.2,329.46,27.38,8.5
67.9208,0,24,666,20.2,384.97,22.98,5
20.7162,0,24,666,20.2,370.22,23.34,11.9
11.9511,0,24,666,20.2,332.09,12.13,27.9
7.40389,0,24,666,20.2,314.64,26.4,17.2
14.4383,0,24,666,20.2,179.36,19.78,27.5
51.1358,0,24,666,20.2,2.6,10.11,15
14.0507,0,24,666,20.2,35.05,21.22,17.2
18.811,0,24,666,20.2,28.79,34.37,17.9
28.6558,0,24,666,20.2,210.97,20.08,16.3
45.7461,0,24,666,20.2,88.27,36.98,7
18.0846,0,24,666,20.2,27.25,29.05,7.2
10.8342,0,24,666,20.2,21.57,25.79,7.5
25.9406,0,24,666,20.2,127.36,26.64,10.4
73.5341,0,24,666,20.2,16.45,20.62,8.8
11.8123,0,24,666,20.2,48.45,22.74,8.4
11.0874,0,24,666,20.2,318.75,15.02,16.7
7.02259,0,24,666,20.2,319.98,15.7,14.2
12.0482,0,24,666,20.2,291.55,14.1,20.8
7.05042,0,24,666,20.2,2.52,23.29,13.4
8.79212,0,24,666,20.2,3.65,17.16,11.7
15.8603,0,24,666,20.2,7.68,24.39,8.3
12.2472,0,24,666,20.2,24.65,15.69,10.2
37.6619,0,24,666,20.2,18.82,14.52,10.9
7.36711,0,24,666,20.2,96.73,21.52,11
9.33889,0,24,666,20.2,60.72,24.08,9.5
8.49213,0,24,666,20.2,83.45,17.64,14.5
10.0623,0,24,666,20.2,81.33,19.69,14.1
6.44405,0,24,666,20.2,97.95,12.03,16.1
5.58107,0,24,666,20.2,100.19,16.22,14.3
13.9134,0,24,666,20.2,100.63,15.17,11.7
11.1604,0,24,666,20.2,109.85,23.27,13.4
14.4208,0,24,666,20.2,27.49,18.05,9.6
15.1772,0,24,666,20.2,9.32,26.45,8.7
13.6781,0,24,666,20.2,68.95,34.02,8.4
9.39063,0,24,666,20.2,396.9,22.88,12.8
