CRIM,ZN,CHAS,RM,AGE,RAD,TAX,PTRATIO,B,LSTAT
0.11329,30,0,6.897,54.3,6,300,16.6,391.25,11.38
0.10612,30,0,6.095,65.1,6,300,16.6,394.62,12.4
0.1029,30,0,6.358,52.9,6,300,16.6,372.75,11.22
0.12757,30,0,6.393,7.8,6,300,16.6,374.71,5.19
0.20608,22,0,5.593,76.5,7,330,19.1,372.49,12.5
0.19133,22,0,5.605,70.2,7,330,19.1,389.13,18.46
0.33983,22,0,6.108,34.9,7,330,19.1,390.18,9.16
0.19657,22,0,6.226,79.2,7,330,19.1,376.14,10.15
0.16439,22,0,6.433,49.1,7,330,19.1,374.71,9.52
0.19073,22,0,6.718,17.5,7,330,19.1,393.74,6.56
0.1403,22,0,6.487,13,7,330,19.1,396.28,5.9
0.21409,22,0,6.438,8.9,7,330,19.1,377.07,3.59
0.08221,22,0,6.957,6.8,7,330,19.1,386.09,3.53
0.36894,22,0,8.259,8.4,7,330,19.1,396.9,3.54
0.04819,80,0,6.108,32,1,315,16.4,392.89,6.57
0.03548,80,0,5.876,19.1,1,315,16.4,395.18,9.25
0.01538,90,0,7.454,34.2,3,244,15.9,386.34,3.11
,20,0,8.704,86.9,5,264,13,389.7,5.12
0.66351,20,0,7.333,100,5,264,13,383.29,7.79
0.65665,20,0,6.842,100,5,264,13,391.93,6.9
0.54011,20,0,7.203,81.8,5,264,13,392.8,9.59
0.53412,20,0,7.52,89.4,5,264,13,388.37,7.26
0.52014,20,0,8.398,91.5,5,264,13,386.86,5.91
0.82526,20,0,7.327,94.5,5,264,13,393.42,11.25
0.55007,20,0,7.206,91.6,5,264,13,387.89,8.1
0.76162,20,0,5.56,62.8,5,264,13,392.4,10.45
0.7857,20,0,7.014,84.6,5,264,13,384.07,14.79
0.57834,20,0,8.297,67,5,264,13,384.54,7.44
0.5405,20,0,7.47,52.6,5,264,13,390.3,3.16
0.09065,20,1,5.92,61.5,3,223,18.6,391.34,13.65
0.29916,20,0,5.856,42.1,3,223,18.6,388.65,13
0.16211,20,0,6.24,16.3,3,223,18.6,396.9,6.59
0.1146,20,0,6.538,58.7,3,223,18.6,394.96,7.73
0.22188,20,1,7.691,51.8,3,223,18.6,390.77,6.58
0.05644,40,1,6.758,32.9,4,254,17.6,396.9,3.53
0.09604,40,0,6.854,42.8,4,254,17.6,396.9,2.98
0.10469,40,1,7.267,49,4,254,17.6,389.25,6.05
0.06127,40,1,6.826,27.6,4,254,17.6,393.45,4.16
0.07978,40,0,6.482,32.1,4,254,17.6,396.9,7.19
0.21038,20,0,6.812,32.2,5,216,14.9,396.9,4.85
